,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
PB>2.3,0.4015077023914492,-2147483197,1,1,1,1,1
總市值/M1B>2.1,0.3841981558479785,-2147482577,1,1,1,1,1
"百分位(PE,3yr)>0.9_且_PE>20",0.3797988092784561,-2147482742,1,1,1,1,1
"百分位(PE,3yr)>0.9",0.372985876267219,-2147482703,1,1,1,1,1
總市值/M2>0.75,0.3661883967554253,-2147481956,1,1,1,1,1
"百分位(PB,3yr)>0.9",0.34875769318339084,-2147482863,1,1,1,1,1
總市值/GDP>1.7,0.3350149771393645,-2147482374,1,1,1,1,1
"百分位(PB,5yr)>=0.9",0.3219927095979715,-2147482931,1,1,1,1,1
PE>25,0.3085087245898835,-2147482570,0,0,0,0,0
"百分位(PE,5yr)>0.95",0.29376062150901944,-2147482930,0,0,0,0,1
subindex_valuation,0.33899535423884464,3132,8,8,8,8,9
