,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
PB>2.3,0.4013761467877817,451,1,1,1,1,1
總市值/M1B>2.1,0.38412870571134594,1071,1,1,1,1,1
"百分位(PE,3yr)>0.9_且_PE>20",0.3797208538578319,906,1,1,1,1,1
"百分位(PE,3yr)>0.9",0.37291169450980644,945,1,1,1,1,1
總市值/M2>0.75,0.36614271457020087,1692,1,1,1,1,1
"百分位(PB,3yr)>0.9",0.34867821330800663,785,1,1,1,1,1
總市值/GDP>1.7,0.33496216897777203,1274,1,1,1,1,1
"百分位(PB,5yr)>=0.9",0.32191448007668866,717,1,1,1,1,1
PE>25,0.30845323740920133,1078,0,0,0,0,0
"百分位(PE,5yr)>0.95",0.2936893203872934,718,0,0,0,0,1
subindex_valuation,0.33899535423884464,3132,8,8,8,8,9
