,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
領先指標<98,0.5978039853589764,-2147482720,0,0,0,0,0
CLI_G20<98,0.538173947263951,-2147482679,0,0,0,0,0
景氣燈號(藍燈),0.4016553067178106,-2147482409,0,0,0,0,0
Kd(月)_D<20,0.3938185443656996,-2147483448,0,0,0,0,0
OFR_FSI > 4,0.36177543575100163,-2147482716,0,0,0,0,0
收盤<MA(10yr),0.36054421768638883,-2147482112,0,0,0,0,0
景氣燈號(黃藍燈+藍燈),0.33868230211344924,-2147480709,0,0,0,0,0
PMI_TW<47,0.33433508639996246,-2147483284,0,0,0,0,0
"百分位數(OFR_FSI,1yr)>0.9_且_OFR_FSI>0",0.29971988795406324,-2147483057,0,0,0,0,0
Kd(週)_D<20,0.2992799279915578,-2147483394,0,0,0,0,0
subindex_status,0.3147551904071484,4202,0,0,0,0,0
