,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
"百分位(PE,5yr)<=0.05",0.5598898577319037,788,0,0,0,0,0
"百分位(PE,3yr)<0.05_且_PE<20",0.5336951605598399,804,0,0,0,0,0
"百分位(PE,3yr)<0.05",0.5279642058155692,816,0,0,0,0,0
PE<13,0.4782270606521132,663,0,0,0,0,0
總市值/M1B<1.6,0.4757998359298402,308,0,0,0,0,0
PB<1.5,0.46033155713325064,543,0,0,0,0,0
"百分位(PB,5yr)<=0.2",0.4602109300088095,1263,0,0,0,0,0
"百分位(PB,3yr)<0.2",0.4602030789379559,1225,0,0,0,0,0
總市值/M2<0.55,0.4204204204194611,864,0,0,0,0,0
總市值/月營收<0.9,0.32404692081997094,551,0,0,0,0,0
subindex_valuation,0.479491623338597,2295,0,0,0,0,0
