,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
DIF_MACD(日)連續三期(1d)向上趨勢,0.21942053582188306,-2147481897,0,0,0,0,0
DIF_MACD(日)連續三期(1d)向下趨勢,0.2130959218833618,-2147481783,0,0,1,1,1
"交叉向上(RSI(日,5),RSI(日,10))",0.21009856475792987,-2147482514,0,0,0,0,0
"交叉向下(RSI(日,5),RSI(日,10))",0.20515826494641873,-2147482467,0,0,0,1,0
交叉向下_Kd(日),0.19167790406381466,-2147482662,0,0,0,0,0
"交叉向下(RSI(週,5),RSI(週,10))",0.18127319440364936,-2147483084,0,0,0,0,0
交叉向上_Kd(日),0.17903842285160493,-2147482717,0,0,0,0,0
"交叉向上(RSI(週,5),RSI(週,10))",0.168688961229969,-2147483115,0,0,0,0,0
DIF_MACD(週)連續三期(5d)向上趨勢,0.15894765689118043,-2147483044,0,0,0,0,0
交叉向下_Kd(週),0.15498414934713028,-2147483250,0,0,0,0,0
subindex_signal,0.2430318057453015,5536,0,0,1,2,1
