,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
Kd(季)_D>77,0.5253623188395655,792,1,1,1,1,1
領先指標>103,0.4121548456950206,1535,1,1,1,1,1
景氣燈號(黃紅燈+紅燈),0.41170634920541727,948,1,1,1,1,1
M1B_YoY>10,0.34925526450882877,1635,0,0,0,0,0
景氣燈號(黃紅燈+紅燈+綠燈),0.3352157544160384,3141,1,1,1,1,1
CLI_G20>101,0.33378482972044604,980,0,0,0,0,0
Kd(月)_D>80,0.3106411103759163,1201,1,1,1,1,1
"RSI(季,10)_D>80",0.3068663838805397,1574,1,1,1,1,1
"RSI(月,10)_D>80",0.2961672473855184,262,0,0,0,0,1
Kd(週)_D>80,0.29584527220556944,1433,0,0,0,0,1
subindex_status,0.31236995422358327,4494,6,6,6,6,8
