,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
韓國消費者物價指數(CPI)年增率_idx_top20pct,0.4205457463876622,1256,0,0,0,0,0
南韓證交所市值佔GDP比重_idx_top20pct,0.3821347952265626,1249,1,1,1,1,1
香港證交所市值佔GDP比重_idx_top20pct,0.3736115785922572,1184,0,0,0,0,0
吉隆坡證交所市值佔GDP比重_idx_top20pct,0.35415970597981683,1195,0,0,0,0,0
綜合企業類–股價淨值比_idx_ma5_above_ma20,0.34017278617587693,393,0,0,0,0,0
法國消費者物價指數(CPI)年增率_idx_top20pct,0.33229196250994053,1459,1,1,1,1,1
印度證交所市值佔GDP比重_idx_top20pct,0.3291107799294025,705,0,0,0,0,0
多倫多證交所市值佔GDP比重_idx_top20pct,0.32587309394878433,715,0,0,0,0,0
上海證交所市值佔GDP比重_idx_top20pct,0.32402619786198245,1149,0,0,0,0,0
韓國消費者物價指數(CPI)年增率_idx_ma5_above_ma20,0.32396379228160593,2847,0,0,0,0,0
subindex_index,0.28632179890448517,3990,2,2,2,2,2
