,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
經濟成長率(GDP)–全年_gdp_gt_ma4,0.3589026501527802,3453,0,0,0,0,0
實質GDP成長率(韓國)_gdp_ge_median,0.3574196048034438,989,0,0,0,0,0
德國製造業PMI_bc_mid_band,0.3556944913814122,1178,0,0,0,0,0
歐元區製造業PMI_bc_mid_band,0.3489354511651229,1178,0,0,0,0,0
法國製造業PMI_bc_mid_band,0.34402191427572354,1250,0,0,0,0,0
實質有效匯率指數–美國_fx_gt_ma12,0.3435640690752065,3144,0,0,0,0,0
德國失業率_labour_gt_ma12,0.33984501130047506,1247,0,0,0,0,0
臺灣非製造業NMI - 存貨觀感 - 批發業_value_ge_median,0.33947772657374586,1326,0,0,0,0,0
OECD領先指標(芬蘭)_bc_mid_band,0.3384218206305072,4153,1,1,1,1,1
名目有效匯率指數–美國_fx_gt_ma12,0.33614988978651755,3101,0,0,0,0,0
subindex_other,0.2572306117223052,5559,1,1,1,1,1
