,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
電腦及周邊設備類–殖利率_rate_top25pct,0.5464098073546833,1126,0,0,0,0,0
光電類–殖利率_rate_top25pct,0.5179640718553731,951,0,0,0,0,0
電子類–殖利率_rate_top25pct,0.5160731169232766,1285,0,0,0,0,0
通信網路類–殖利率_rate_ma3_above_ma12,0.49748297305227196,1387,0,0,0,0,0
上櫃公司股票–殖利率_rate_ma3_above_ma12,0.4899280575532395,1436,0,0,0,0,0
上櫃公司股票–殖利率_rate_gt_ma12,0.46695603472346486,1484,0,0,0,0,0
機電類–殖利率_rate_top25pct,0.4606159716537148,1533,0,0,0,0,0
通信網路類–殖利率_rate_gt_ma12,0.45938653791465506,1459,0,0,0,0,0
上市公司股票–殖利率_rate_top25pct,0.44499249410194597,2030,0,0,0,0,0
電子零組件類–殖利率_rate_top25pct,0.441587967820084,1128,0,0,0,0,0
subindex_rate,0.33681579284671415,3599,0,0,0,0,0
