,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
國泰房地產推案量戶數指數–台北市_re_mid_band,0.4164427727017523,629,1,1,1,1,1
國泰房地產推案量戶數指數–新北市_re_mid_band,0.41289291422373614,637,1,1,1,1,1
國泰房地產推案量戶數指數–台中市_re_mid_band,0.39082198688749414,690,1,1,1,1,1
國泰房地產30天成交量指數–南高都會區_re_gt_ma12,0.3752017213544713,628,0,0,0,0,0
國泰房地產30天銷售率指數–南高都會區_re_top25pct,0.375077495349108,505,0,0,0,0,0
臺灣非製造業NMI - 存貨觀感 - 營造暨不動產業_re_gt_ma12,0.3732124171599645,1132,0,0,0,0,0
國泰房地產推案量戶數指數–高雄市_re_gt_ma12,0.3473778574620346,814,1,1,1,1,1
國泰房地產推案量戶數指數–台灣地區_re_mid_band,0.3426666666655753,636,1,1,1,1,1
臺灣非製造業NMI - 存貨 - 營造暨不動產業_re_gt_ma12,0.3412616339185146,1149,0,0,0,0,0
國泰房地產議價空間指數–南高都會區_re_gt_ma12,0.3257474341801855,819,0,0,0,0,0
subindex_real_estate,0.3239716939403291,3090,5,5,5,5,5
