,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
來台旅客按目的分–俄羅斯來台探親_tour_gt_ma6,0.31498764754254277,1520,0,0,0,0,0
亞都麗緻大飯店客房數_tour_gt_ma6,0.3113325031123889,100,0,0,0,0,0
來台旅客按目的分–澳大利亞來台觀光_tour_gt_ma6,0.3009205983883551,1871,1,1,1,1,1
來台旅客按目的分–新加坡來台探親_tour_gt_ma6,0.2964295230475536,1575,0,0,0,0,0
來台旅客按目的分–大洋洲來台觀光_tour_gt_ma6,0.2953467359379704,1912,1,1,1,1,1
來台旅客按目的分–紐西蘭來台觀光_tour_gt_ma6,0.2886188361760713,1838,1,1,1,1,1
新竹國賓大飯店住客數–GROUP類_tour_gt_ma6,0.2867855695172585,3399,1,1,1,1,1
知本老爺大酒店住客數–類別合計_tour_gt_ma6,0.28624766645889366,3716,1,1,1,1,1
寒舍艾麗酒店–類別合計_tour_gt_ma6,0.285815102328255,1824,1,1,1,1,1
來台旅客按目的分–紐西蘭來台探親_tour_gt_ma6,0.2841854934595521,1801,1,1,1,1,1
subindex_tourism,0.2622012178494183,5200,7,7,7,7,7
