,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
塑膠類–股價淨值比_idx_top20pct,0.4673793859637863,600,0,0,0,0,0
未含金融保險類–股價淨值比_idx_top20pct,0.4265980498363671,611,1,1,1,1,1
新加坡海峽時報指數(月底)_idx_top20pct,0.3992814093642397,1845,1,1,1,1,1
運輸類–股價淨值比_idx_top20pct,0.3975453575229017,625,0,0,0,0,0
上海證交所市值佔GDP比重_idx_gt_ma6,0.3875222288077819,1375,0,0,0,0,0
塑膠化工類–股價淨值比_idx_top20pct,0.38140311803902793,137,0,0,0,0,0
香港恆生指數(月底)_idx_top20pct,0.3798701298695456,1998,0,0,0,0,0
機電類–股價淨值比_idx_ma5_above_ma20,0.3641785044220236,3419,1,1,1,1,1
布魯塞爾BEL 20股價指數(月底)_idx_top20pct,0.3638392857135294,1368,1,1,1,1,1
電子類–股價淨值比_idx_ma5_above_ma20,0.3597402597398873,3538,1,1,1,1,1
subindex_index,0.3049759229531575,4672,5,5,5,5,5
