,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
玻璃陶瓷類–殖利率_rate_mid_band,0.3636236739247838,3270,0,0,0,0,0
公債次級市場利率－十年期中央政府_rate_gt_ma12,0.35403786707829504,2276,1,1,1,1,1
運輸類–殖利率_rate_mid_band,0.3525531185738885,2606,1,1,1,1,1
公債次級市場利率－十年期中央政府_rate_ma3_above_ma12,0.3452521670601385,2226,1,1,1,1,1
英國基準利率_rate_gt_ma12,0.34351145038110525,2046,0,0,0,0,0
英國基準利率_rate_ma3_above_ma12,0.3286683630189338,2046,0,0,0,0,0
美國公司債Baa利率_rate_gt_ma12,0.32574152542323853,2520,0,0,0,0,0
美國公司債Aaa利率_rate_gt_ma12,0.3206829440900962,2514,1,1,1,1,1
合庫定存利率(一個月)_rate_top25pct,0.30723905723822725,1173,0,0,0,0,0
合庫定存利率(三個月)_rate_top25pct,0.30723905723822725,1173,0,0,0,0,0
subindex_rate,0.255700871897807,5652,4,4,4,4,4
