,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
國泰房地產30天銷售率指數–高雄市_re_top25pct,0.4053701772668895,647,1,1,1,1,1
國泰房地產30天銷售率指數–台灣地區_re_top25pct,0.37191064638678917,740,0,0,0,0,0
國泰房地產推案量戶數指數–桃園市_re_gt_ma12,0.3711538461525975,338,1,1,1,1,1
住宅需求調查購屋價格1200萬元以上比例–桃園市_re_top25pct,0.36582459485119495,737,0,0,0,0,0
國泰房地產30天成交量指數–高雄市_re_top25pct,0.34420289854958996,585,1,1,1,1,1
國泰房地產30天成交量指數–台中市_re_top25pct,0.33397683397591926,983,0,0,0,0,0
臺灣非製造業NMI - 未完成訂單 - 營造暨不動產業_re_top25pct,0.3316610925295231,585,1,1,1,1,1
國泰房地產議價空間指數–新竹縣市_re_top25pct,0.32884615384490523,338,1,1,1,1,1
信義住宅成屋市場成交平均總價–台北縣_re_top25pct,0.3209858323487173,1382,1,1,1,1,1
國泰房地產30天成交量指數–新竹縣市_re_top25pct,0.3205563093610584,425,0,0,0,0,0
subindex_real_estate,0.3473395270266263,3240,6,6,6,6,6
