,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
Kd(季)_D>77,0.5254813137022704,-2147482856,1,1,1,1,1
領先指標>103,0.4122106403133634,-2147482113,1,1,1,1,1
景氣燈號(黃紅燈+紅燈),0.4117880531842243,-2147482700,1,1,1,1,1
M1B_YoY>10,0.3493001155765715,-2147482013,0,0,0,0,0
景氣燈號(黃紅燈+紅燈+綠燈),0.33524002606576836,-2147480507,1,1,1,1,1
CLI_G20>101,0.3338494290681765,-2147482668,0,0,0,0,0
Kd(月)_D>80,0.3106924475285157,-2147482447,1,1,1,1,1
"RSI(季,10)_D>80",0.3069070661533601,-2147482074,1,1,1,1,1
"RSI(月,10)_D>80",0.296296296295055,-2147483386,0,0,0,0,1
Kd(週)_D>80,0.295887662988233,-2147482215,0,0,0,0,1
subindex_status,0.31236995422358327,4494,6,6,6,6,8
