,fscore,num_signal,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-07-29 00:00:00,2024-07-26 00:00:00,2024-07-23 00:00:00
第一大飯店客房數_tour_gt_ma6,0.46034946236437313,432,0,0,0,0,0
觀光旅館房租收入–其他地區國際類_tour_gt_ma6,0.30279694430718573,3746,1,1,1,1,1
觀光旅館客房住用數–其他地區國際類_tour_gt_ma6,0.2937003405218048,4093,1,1,1,1,1
觀光旅館FIT類住客數–花蓮地區國際類_tour_gt_ma6,0.2934689812175806,3202,1,1,1,1,1
觀光旅館平均房價–台灣地區國際類合計_tour_gt_ma6,0.2914798206274442,3702,1,1,1,1,1
新竹老爺大酒店總營業收入_tour_ge_median,0.2884615384611875,3796,1,1,1,1,1
新竹老爺大酒店住客數–FIT類_tour_gt_ma6,0.28635817307657613,3848,1,1,1,1,1
台北寒舍艾美酒店–GROUP類_tour_gt_ma6,0.2854729729723689,1908,1,1,1,1,1
觀光旅館平均房價–高雄地區一般類_tour_ge_median,0.2841299862443628,2596,1,1,1,1,1
觀光旅館平均房價–桃竹苗地區國際類_tour_ge_median,0.28338603746012114,3799,1,1,1,1,1
subindex_tourism,0.24904214559363305,5952,9,9,9,9,9
